"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","category_senti","sent.value"
"400","Have I mentioned how excited I’m about being agrant recipient Goteam…",FALSE,11,NA,2018-12-11 21:33:44,TRUE,NA,"1072605378456838144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","africa_science",2,FALSE,FALSE,NA,NA,0,2,0,0,1,0,1,1,0,1,"Positive",1.15
"401","Making your dreams a reality congrats",FALSE,3,"Jadenbanson",2018-12-11 21:33:44,FALSE,"1072583311896338438","1072605378037407746","1849975478","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alvares_nigel",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",1.25
"402","In a digital world we need digital peace Together we can BeTheGeneration to STOPCYBERWARFARE Learn how and si…",FALSE,0,NA,2018-12-11 21:31:58,TRUE,NA,"1072604931515998210",NA,"<a href=""https://www.globalcitizen.org/"" rel=""nofollow"">Global Citizen Mobile App</a>","am_dapsyn",0,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,2,"Positive",1.55
"404","FIX THIS ERROR IN WINDOWSVERSION…",FALSE,0,"Microsoft",2018-12-11 21:31:06,TRUE,NA,"1072604714146119686","74286565","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yaboizlucario12",0,FALSE,FALSE,NA,NA,0,0,0,0,0,1,0,0,1,0,"Negative",-1
"406","Azure storage team wants simpler flash devices at",FALSE,0,"Microsoft",2018-12-11 21:30:00,FALSE,NA,"1072604437049470984","74286565","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","bluepensoftware",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,0,"Positive",0.4
"407","VIDEO st part wherefromexplains abt the companys blockchain strategy at todays DTL and…",FALSE,1,NA,2018-12-11 21:29:51,TRUE,NA,"1072604398969372673",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ObjectMgmtGroup",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"410","But is it played instores TheBigQuestion",FALSE,0,"mdowney",2018-12-11 21:29:09,FALSE,"1072602993776836610","1072604224297582594","72343","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","turnergolfing",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"411","Thanks for this translation guys nailed it",FALSE,3,"FCBarcelona",2018-12-11 21:28:53,FALSE,NA,"1072604155536138241","96951800","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sajjadahmed1",1,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,0,"Positive",0.6
"412","Game Face",FALSE,0,"FeliciaGardner_",2018-12-11 21:28:17,FALSE,"1072549385773424641","1072604007066189826","25300465","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BuyiMafoko",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"413","Recentlyandnoticed the potential of indie gaming and brought them into the mainstream view Thi…",FALSE,0,NA,2018-12-11 21:28:10,TRUE,NA,"1072603974019244033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jointhecolonii",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
